scenario,Region,EMF30 Sector,pollutant,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
SSP1,AFRI_EAST,CEMENT,CO,0.289248389082978,0.2960857851613611,0.2972316957763278,0.2904877352368302,0.2817249862581444,0.2866003340130221,0.293635556851271,0.2842727796011395,0.2804765544273234,0.2452753467247978,0.2259720443501989,0.2054841582315739,0.1889152375879297,0.1821573078711566,0.1770080251231146,0.1728473738982799,0.1698197681258614,0.1698197681258614,0.1698197681258614,0.1698197681258614,0.1698197681258614,0.1698197681258614,0.1698197681258614
SSP1,AFRI_EAST,CEMENT,NH3,,,,,,,,,,,,,,,,,,,,,,,
SSP1,AFRI_EAST,CEMENT,NOX,2.596895009403613,2.606448631321354,2.609399049208304,2.6025252761736444,2.5886866968489177,2.5975322612898903,2.610861471166604,2.576437039277699,2.542030877840148,1.8510286233749924,1.4775291285019794,1.0889078188872603,0.72501487208535,0.5914731002862265,0.4750037675616555,0.3625089368006803,0.2627760467109653,0.2627760467109653,0.2627760467109653,0.2627760467109653,0.2627760467109653,0.2627760467109653,0.2627760467109653
SSP1,AFRI_EAST,CEMENT,PM_BC,0.0021823260672385,0.00260430345096,0.0024067857665974,0.0016483546491008,0.0012350081414726,0.0012585779215054,0.0013309861524227,0.0010929804718679,0.0008159562129765,0.0005701168843115,0.0004373980659087,0.0002993677105237,0.000166264144135,0.0001193248137027,7.79530567785772e-05,3.752009751236974e-05,1.2894031084620617e-06,1.2894031084620617e-06,1.2894031084620617e-06,1.2894031084620617e-06,1.2894031084620617e-06,1.2894031084620617e-06,1.2894031084620617e-06
SSP1,AFRI_EAST,CEMENT,PM_OC,0.0104635831416085,0.0130224008351805,0.012282309962414,0.007292479334852,0.0045711321673613,0.0049540297000085,0.0055081226915689,0.0038439772225849,0.001879243012355,0.0013139817114211,0.0010088140644947,0.0006914101569995,0.0003787715453621,0.0002727216088543,0.0001792657985078,8.794721080340161e-05,6.132814013289595e-06,6.132814013289595e-06,6.132814013289595e-06,6.132814013289595e-06,6.132814013289595e-06,6.132814013289595e-06,6.132814013289595e-06
SSP1,AFRI_EAST,CEMENT,PM_total,0.012645909208846999,0.0156267042861405,0.0146890957290114,0.0089408339839528,0.0058061403088339,0.0062126076215139004,0.0068391088439916006,0.0049369576944528,0.0026951992253314997,0.0018840985957326,0.0014462121304034,0.0009907778675232,0.0005450356894971,0.000392046422557,0.0002572188552863772,0.00012546730831577133,7.422217121751657e-06,7.422217121751657e-06,7.422217121751657e-06,7.422217121751657e-06,7.422217121751657e-06,7.422217121751657e-06,7.422217121751657e-06
SSP1,AFRI_EAST,CEMENT,SO2,0.520648591259201,0.5237207363464746,0.524669498176788,0.522459108416623,0.518009055457299,0.5208535114736119,0.5251397671986727,0.516623527259707,0.5097244522152348,0.3712835762082836,0.2964529288371036,0.2185797816482106,0.1456619717433668,0.1189050892159909,0.0955708334593792,0.0730349685859048,0.0530573954129378,0.0530573954129378,0.0530573954129378,0.0530573954129378,0.0530573954129378,0.0530573954129378,0.0530573954129378
SSP1,AFRI_EAST,CEMENT,VOC,,,,,,,,,,,,,,,,,,,,,,,
SSP1,AFRI_EAST,CHEM,CO,,,,,,,,,,,,,,,,,,,,,,,
SSP1,AFRI_EAST,CHEM,NH3,,,,,,,,,,,,,,,,,,,,,,,
SSP1,AFRI_EAST,CHEM,NOX,,,,,,,,,,,,,,,,,,,,,,,
SSP1,AFRI_EAST,CHEM,PM_BC,,,,,,,,,,,,,,,,,,,,,,,
SSP1,AFRI_EAST,CHEM,PM_OC,,,,,,,,,,,,,,,,,,,,,,,
SSP1,AFRI_EAST,CHEM,PM_total,,,,,,,,,,,,,,,,,,,,,,,
SSP1,AFRI_EAST,CHEM,SO2,,,,,,,,,,,,,,,,,,,,,,,
SSP1,AFRI_EAST,CHEM,VOC,0.8100509502285369,0.7498845260818554,0.793255361977615,0.9222874341575412,0.9321688519581376,0.9467957918231532,0.9808788722194088,0.8975656262863004,0.7959465797531592,0.656022022273121,0.5547872805208257,0.4664253811603696,0.3878545363380318,0.3578195056709728,0.3327239358000814,0.3096851727686014,0.2902361912311844,0.2902361912311844,0.2902361912311844,0.2902361912311844,0.2902361912311844,0.2902361912311844,0.2902361912311844
SSP1,AFRI_EAST,CUSM,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
SSP1,AFRI_EAST,CUSM,NH3,,,,,,,,,,,,,,,,,,,,,,,
SSP1,AFRI_EAST,CUSM,NOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
SSP1,AFRI_EAST,CUSM,PM_BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
SSP1,AFRI_EAST,CUSM,PM_OC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
SSP1,AFRI_EAST,CUSM,PM_total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
SSP1,AFRI_EAST,CUSM,SO2,1000.0,1000.0,500.0,650.0,559.9999999999999,400.0,300.0,297.5636234829612,293.5899102070616,233.9049980368062,201.50868462503445,167.785867366095,137.6056413997511,126.12740616603716,116.48490233536047,107.57350432277391,100.0,100.0,100.0,100.0,100.0,100.0,100.0
SSP1,AFRI_EAST,CUSM,VOC,,,,,,,,,,,,,,,,,,,,,,,
SSP1,AFRI_EAST,End_Use_Industry_Bio_Trad,CO,0.3,0.2999999999999999,0.2999999999999999,0.3,0.3,0.3,0.3,0.2999999999999999,0.3,0.2999999999999999,0.2999999999999999,0.2999999999999999,0.2999999999999999,0.2999999999999999,0.2999999999999999,0.2999999999999999,0.2999999999999999,0.2999999999999999,0.2999999999999999,0.2999999999999999,0.2999999999999999,0.2999999999999999,0.2999999999999999
SSP1,AFRI_EAST,End_Use_Industry_Bio_Trad,NH3,0.005,0.0049999999999999,0.0049999999999999,0.0049999999999999,0.005,0.005,0.005,0.004959393724716,0.0048931651701176,0.0042838333006134,0.0039496239104171,0.0036011186227681,0.0033246773566624,0.0032088942694338,0.0031211025389225,0.0030507042387128,0.0029999999999999,0.0029999999999999,0.0029999999999999,0.0029999999999999,0.0029999999999999,0.0029999999999999,0.0029999999999999
SSP1,AFRI_EAST,End_Use_Industry_Bio_Trad,NOX,0.13,0.13,0.1299999999999999,0.13,0.13,0.13,0.13,0.1289442368426165,0.12722229442306,0.1076218533159493,0.0969265497958482,0.0857833810669744,0.0763869237732254,0.0726402353802827,0.0696467128869895,0.0670546383315353,0.065,0.065,0.065,0.065,0.065,0.065,0.065
SSP1,AFRI_EAST,End_Use_Industry_Bio_Trad,PM_BC,0.0096,0.0096,0.0095999999999999,0.008900352,0.00828816,0.00785088,0.007238688,0.0060522060507446,0.0051155105954478,0.0035724531857932,0.0027394291959065,0.0018730940779868,0.0010514881957492,0.000752909550037,0.0004897160632913,0.00023246261432,1.92e-06,1.92e-06,1.92e-06,1.92e-06,1.92e-06,1.92e-06,1.92e-06
SSP1,AFRI_EAST,End_Use_Industry_Bio_Trad,PM_OC,0.0143999999999999,0.0143999999999999,0.0143999999999999,0.01329408,0.0123263999999999,0.0116352,0.01066752,0.0087983612191441,0.0073280041587682,0.0051176012509986,0.0039243086432408,0.0026832983744577,0.0015063643093377,0.0010786556829042,0.0007016362872905,0.0003331265428964,2.8799999999999995e-06,2.8799999999999995e-06,2.8799999999999995e-06,2.8799999999999995e-06,2.8799999999999995e-06,2.8799999999999995e-06,2.8799999999999995e-06
