scenario;region;year;technology;min;mean;max
frozen;EUR;2020;Particulate Matter, < 2.5 um;1.286e-04;1.286e-04;1.286e-04
frozen;EUR;2050;Particulate Matter, < 2.5 um;1.286e-04;1.286e-04;1.286e-04
frozen;GLO;2020;Particulate Matter, < 2.5 um;1.286e-04;1.286e-04;1.286e-04
frozen;GLO;2050;Particulate Matter, < 2.5 um;1.286e-04;1.286e-04;1.286e-04
intervention;EUR;2020;Particulate Matter, < 2.5 um;1.286e-04;1.286e-04;1.286e-04
intervention;EUR;2050;Particulate Matter, < 2.5 um;4.000e-05;6.000e-05;8.000e-05
intervention;GLO;2020;Particulate Matter, < 2.5 um;1.286e-04;1.286e-04;1.286e-04
intervention;GLO;2050;Particulate Matter, < 2.5 um;8.000e-05;1.000e-04;1.200e-04
